,Date,Station,Pressure,Height,Temp,DewPoint,Relative_Humidity,Mean_Mixed_Layer,Wind_Direction,Wind_Speed,Potential_Temp,Equivalent_Potential_Temp,Virtual_Potential_Temp
67,2022-04-12,Quillayute,850,1284.0,-2.3,-2.3,100.0,3.82,260.0,64.82000000000001,283.7,294.7,284.4
68,2022-04-12,Vernon,700,2815.0,-8.1,-10.9,80.0,2.39,205.0,77.784,293.5,300.8,293.9
69,2022-04-12,Vernon,850,1256.0,2.4,-2.6,70.0,3.73,190.0,25.928,288.6,299.6,289.3
70,2022-04-12,Port Hardy,700,2685.0,-12.3,-16.6,70.0,1.5,200.0,59.264,288.8,293.5,289.1
71,2022-04-12,Port Hardy,850,1185.0,-3.3,-6.9,76.0,2.69,235.0,79.63600000000001,282.7,290.5,283.1
72,2022-04-13,Quillayute,700,2809.0,-10.1,-11.2,92.0,2.33,230.0,74.08,291.3,298.4,291.7
73,2022-04-13,Quillayute,850,1284.0,-2.3,-2.3,100.0,3.82,260.0,64.82000000000001,283.7,294.7,284.4
74,2022-04-13,Vernon,700,2815.0,-8.1,-10.9,80.0,2.39,205.0,77.784,293.5,300.8,293.9
75,2022-04-13,Vernon,850,1256.0,2.4,-2.6,70.0,3.73,190.0,25.928,288.6,299.6,289.3
76,2022-04-13,Port Hardy,700,2685.0,-12.3,-16.6,70.0,1.5,200.0,59.264,288.8,293.5,289.1
77,2022-04-13,Port Hardy,850,1185.0,-3.3,-6.9,76.0,2.69,235.0,79.63600000000001,282.7,290.5,283.1
78,2022-04-14,Quillayute,700,2809.0,-10.1,-11.2,92.0,2.33,230.0,74.08,291.3,298.4,291.7
79,2022-04-14,Quillayute,850,1284.0,-2.3,-2.3,100.0,3.82,260.0,64.82000000000001,283.7,294.7,284.4
80,2022-04-14,Vernon,700,2815.0,-8.1,-10.9,80.0,2.39,205.0,77.784,293.5,300.8,293.9
81,2022-04-14,Vernon,850,1256.0,2.4,-2.6,70.0,3.73,190.0,25.928,288.6,299.6,289.3
82,2022-04-14,Port Hardy,700,2685.0,-12.3,-16.6,70.0,1.5,200.0,59.264,288.8,293.5,289.1
83,2022-04-14,Port Hardy,850,1185.0,-3.3,-6.9,76.0,2.69,235.0,79.63600000000001,282.7,290.5,283.1
84,2022-04-15,Quillayute,700,2809.0,-10.1,-11.2,92.0,2.33,230.0,74.08,291.3,298.4,291.7
85,2022-04-15,Quillayute,850,1284.0,-2.3,-2.3,100.0,3.82,260.0,64.82000000000001,283.7,294.7,284.4
86,2022-04-15,Vernon,700,2815.0,-8.1,-10.9,80.0,2.39,205.0,77.784,293.5,300.8,293.9
87,2022-04-15,Vernon,850,1256.0,2.4,-2.6,70.0,3.73,190.0,25.928,288.6,299.6,289.3
88,2022-04-15,Port Hardy,700,2685.0,-12.3,-16.6,70.0,1.5,200.0,59.264,288.8,293.5,289.1
89,2022-04-15,Port Hardy,850,1185.0,-3.3,-6.9,76.0,2.69,235.0,79.63600000000001,282.7,290.5,283.1
90,2022-04-16,Quillayute,700,2809.0,-10.1,-11.2,92.0,2.33,230.0,74.08,291.3,298.4,291.7
91,2022-04-16,Quillayute,850,1284.0,-2.3,-2.3,100.0,3.82,260.0,64.82000000000001,283.7,294.7,284.4
92,2022-04-16,Vernon,700,2815.0,-8.1,-10.9,80.0,2.39,205.0,77.784,293.5,300.8,293.9
93,2022-04-16,Vernon,850,1256.0,2.4,-2.6,70.0,3.73,190.0,25.928,288.6,299.6,289.3
94,2022-04-16,Port Hardy,700,2685.0,-12.3,-16.6,70.0,1.5,200.0,59.264,288.8,293.5,289.1
95,2022-04-16,Port Hardy,850,1185.0,-3.3,-6.9,76.0,2.69,235.0,79.63600000000001,282.7,290.5,283.1
96,2022-04-17,Quillayute,700,2809.0,-10.1,-11.2,92.0,2.33,230.0,74.08,291.3,298.4,291.7
97,2022-04-17,Quillayute,850,1284.0,-2.3,-2.3,100.0,3.82,260.0,64.82000000000001,283.7,294.7,284.4
98,2022-04-17,Vernon,700,2815.0,-8.1,-10.9,80.0,2.39,205.0,77.784,293.5,300.8,293.9
99,2022-04-17,Vernon,850,1256.0,2.4,-2.6,70.0,3.73,190.0,25.928,288.6,299.6,289.3
100,2022-04-17,Port Hardy,700,2685.0,-12.3,-16.6,70.0,1.5,200.0,59.264,288.8,293.5,289.1
101,2022-04-17,Port Hardy,850,1185.0,-3.3,-6.9,76.0,2.69,235.0,79.63600000000001,282.7,290.5,283.1
102,2022-04-18,Quillayute,700,2809.0,-10.1,-11.2,92.0,2.33,230.0,74.08,291.3,298.4,291.7
103,2022-04-18,Quillayute,850,1284.0,-2.3,-2.3,100.0,3.82,260.0,64.82000000000001,283.7,294.7,284.4
104,2022-04-18,Vernon,700,2815.0,-8.1,-10.9,80.0,2.39,205.0,77.784,293.5,300.8,293.9
105,2022-04-18,Vernon,850,1256.0,2.4,-2.6,70.0,3.73,190.0,25.928,288.6,299.6,289.3
106,2022-04-18,Port Hardy,700,2685.0,-12.3,-16.6,70.0,1.5,200.0,59.264,288.8,293.5,289.1
107,2022-04-18,Port Hardy,850,1185.0,-3.3,-6.9,76.0,2.69,235.0,79.63600000000001,282.7,290.5,283.1
108,2022-04-19,Quillayute,700,2809.0,-10.1,-11.2,92.0,2.33,230.0,74.08,291.3,298.4,291.7
109,2022-04-19,Quillayute,850,1284.0,-2.3,-2.3,100.0,3.82,260.0,64.82000000000001,283.7,294.7,284.4
110,2022-04-19,Vernon,700,2815.0,-8.1,-10.9,80.0,2.39,205.0,77.784,293.5,300.8,293.9
111,2022-04-19,Vernon,850,1256.0,2.4,-2.6,70.0,3.73,190.0,25.928,288.6,299.6,289.3
112,2022-04-19,Port Hardy,700,2685.0,-12.3,-16.6,70.0,1.5,200.0,59.264,288.8,293.5,289.1
113,2022-04-19,Port Hardy,850,1185.0,-3.3,-6.9,76.0,2.69,235.0,79.63600000000001,282.7,290.5,283.1
114,2022-04-20,Quillayute,700,2809.0,-10.1,-11.2,92.0,2.33,230.0,74.08,291.3,298.4,291.7
115,2022-04-20,Quillayute,850,1284.0,-2.3,-2.3,100.0,3.82,260.0,64.82000000000001,283.7,294.7,284.4
116,2022-04-20,Vernon,700,2815.0,-8.1,-10.9,80.0,2.39,205.0,77.784,293.5,300.8,293.9
117,2022-04-20,Vernon,850,1256.0,2.4,-2.6,70.0,3.73,190.0,25.928,288.6,299.6,289.3
118,2022-04-20,Port Hardy,700,2685.0,-12.3,-16.6,70.0,1.5,200.0,59.264,288.8,293.5,289.1
119,2022-04-20,Port Hardy,850,1185.0,-3.3,-6.9,76.0,2.69,235.0,79.63600000000001,282.7,290.5,283.1
120,2022-04-21,Quillayute,700,2809.0,-10.1,-11.2,92.0,2.33,230.0,74.08,291.3,298.4,291.7
121,2022-04-21,Quillayute,850,1284.0,-2.3,-2.3,100.0,3.82,260.0,64.82000000000001,283.7,294.7,284.4
122,2022-04-21,Vernon,700,2815.0,-8.1,-10.9,80.0,2.39,205.0,77.784,293.5,300.8,293.9
123,2022-04-21,Vernon,850,1256.0,2.4,-2.6,70.0,3.73,190.0,25.928,288.6,299.6,289.3
124,2022-04-21,Port Hardy,700,2685.0,-12.3,-16.6,70.0,1.5,200.0,59.264,288.8,293.5,289.1
125,2022-04-21,Port Hardy,850,1185.0,-3.3,-6.9,76.0,2.69,235.0,79.63600000000001,282.7,290.5,283.1
126,2022-04-22,Quillayute,700,2809.0,-10.1,-11.2,92.0,2.33,230.0,74.08,291.3,298.4,291.7
127,2022-04-22,Quillayute,850,1284.0,-2.3,-2.3,100.0,3.82,260.0,64.82000000000001,283.7,294.7,284.4
128,2022-04-22,Vernon,700,2815.0,-8.1,-10.9,80.0,2.39,205.0,77.784,293.5,300.8,293.9
129,2022-04-22,Vernon,850,1256.0,2.4,-2.6,70.0,3.73,190.0,25.928,288.6,299.6,289.3
130,2022-04-22,Port Hardy,700,2685.0,-12.3,-16.6,70.0,1.5,200.0,59.264,288.8,293.5,289.1
131,2022-04-22,Port Hardy,850,1185.0,-3.3,-6.9,76.0,2.69,235.0,79.63600000000001,282.7,290.5,283.1
132,2022-04-23,Quillayute,700,2809.0,-10.1,-11.2,92.0,2.33,230.0,74.08,291.3,298.4,291.7
133,2022-04-23,Quillayute,850,1284.0,-2.3,-2.3,100.0,3.82,260.0,64.82000000000001,283.7,294.7,284.4
134,2022-04-23,Vernon,700,2815.0,-8.1,-10.9,80.0,2.39,205.0,77.784,293.5,300.8,293.9
